unit -> micro-Tesla (uT) and measure the ambient magnetic field in the X, Y and Z axis 
Timestamp;x-axis;y-axis;z-axis
0.001249;-6.66;16.5;59.1;
0.011341999;-6.72;16.44;58.98;
0.021404;-6.72;16.26;58.92;
0.031501;-6.48;15.96;59.039997;
0.042262;-6.2999997;15.78;59.46;
0.051735;-6.12;15.599999;59.399998;
0.061789;-6.18;15.48;59.579998;
0.071848;-6.2999997;15.24;59.64;
0.081934;-6.42;14.82;59.699997;
0.092172;-6.8399997;14.639999;59.579998;
0.105928;-6.54;14.46;59.64;
0.115894;-6.3599997;14.219999;59.76;
0.126259;-6.18;14.16;60.059998;
0.135981;-5.94;13.98;60.239998;
0.14619799;-5.64;13.559999;60.66;
0.15613298;-5.8199997;13.259999;60.539997;
0.16621101;-5.8199997;13.2;60.719997;
0.17650099;-6.12;13.0199995;60.6;
0.191588;-6.0;12.719999;60.66;
0.200925;-5.94;12.599999;60.6;
0.212587;-6.0;12.42;60.66;
0.22117199;-5.94;12.179999;60.84;
0.231252;-5.64;11.94;60.84;
0.24144499;-5.52;11.759999;61.079998;
0.25191998;-5.22;11.88;61.32;
0.262067;-4.68;11.5199995;61.44;
0.271677;-4.68;11.34;61.32;
0.281699;-4.56;10.98;61.26;
0.291784;-4.62;10.8;61.32;
0.301867;-4.62;10.44;61.14;
0.31212;-4.98;10.38;60.84;
0.32215598;-4.8599997;10.2;61.079998;
0.33218202;-4.98;9.96;61.079998;
0.34267;-4.62;9.66;61.32;
0.352766;-4.56;9.42;61.5;
0.36364898;-4.56;9.12;61.62;
0.37303698;-4.56;8.82;61.62;
0.38346097;-4.8599997;8.4;61.559998;
0.39357796;-4.98;8.16;61.68;
0.40385598;-5.7;7.74;61.32;
0.413859;-5.94;7.2599998;61.14;
0.42396498;-6.2999997;7.14;61.199997;
0.439638;-6.54;6.8399997;61.199997;
0.44877198;-6.8999996;6.54;61.379997;
0.464175;-7.14;6.12;61.26;
0.47281098;-7.3799996;5.94;61.44;
0.482887;-7.08;5.46;61.8;
0.493037;-7.2;5.22;61.92;
0.504362;-7.3799996;4.7999997;61.92;
0.513613;-7.7999997;4.44;61.98;
0.523578;-8.34;4.14;61.98;
0.53363;-8.639999;3.6;62.039997;
0.543722;-9.12;3.1799998;62.039997;
0.553894;-9.42;3.06;62.219997;
0.563944;-9.96;2.7;62.1;
0.574028;-9.599999;2.76;62.34;
0.584118;-9.84;2.6399999;62.28;
0.59505;-9.96;2.76;62.219997;
0.604342;-10.26;2.82;62.219997;
0.616497;-10.679999;2.82;62.1;
0.625645;-10.8;3.12;62.16;
0.635635;-11.04;3.1799998;62.039997;
0.64558;-11.16;3.3;62.039997;
0.6556789;-11.28;3.4199998;61.859997;
0.666012;-11.28;3.6;61.859997;
0.675981;-11.28;3.9599998;61.739998;
0.686153;-11.16;4.2599998;61.5;
0.700197;-11.16;4.68;61.44;
0.709282;-10.8;5.04;61.379997;
0.723001;-10.679999;5.2799997;61.199997;
0.731349;-10.44;5.64;61.32;
0.74149495;-10.32;5.4;61.26;
0.75158095;-10.139999;5.52;61.32;
0.76163995;-10.08;5.3399997;61.32;
0.771759;-9.96;5.22;61.44;
0.782012;-9.54;5.16;61.5;
0.793131;-9.54;4.92;61.62;
0.802808;-9.54;4.74;61.62;
0.815331;-9.9;4.68;61.26;
0.823673;-9.719999;4.5;61.44;
0.835942;-9.66;4.3199997;61.32;
0.84424496;-9.599999;4.02;61.5;
0.85436404;-9.54;3.72;61.739998;
0.864449;-9.599999;3.3;61.8;
0.874527;-9.78;3.06;61.739998;
0.886504;-9.84;2.82;61.739998;
0.89592195;-9.78;2.52;61.62;
0.905889;-9.78;2.52;61.559998;
0.915883;-9.84;2.1;61.68;
0.926014;-9.719999;1.92;61.68;
0.93608993;-9.54;1.74;61.5;
0.94682497;-9.599999;1.74;61.26;
0.95634997;-9.599999;1.56;61.26;
0.966321;-9.48;1.62;61.32;
0.9764149;-8.94;1.3199999;61.559998;
0.98649794;-9.059999;1.3199999;61.5;
0.997161;-9.12;1.14;61.559998;
1.012622;-8.94;1.02;61.379997;
1.021256;-8.639999;0.78;61.14;
1.031245;-8.34;0.96;61.199997;
1.041347;-7.98;0.65999997;61.199997;
1.0515679;-7.74;0.59999996;61.26;
1.0632359;-7.9199996;0.59999996;61.14;
1.071752;-7.3799996;0.65999997;61.26;
1.081878;-7.02;0.9;61.199997;
1.0918219;-6.6;1.02;61.44;
1.1019679;-6.18;1.1999999;61.5;
1.112305;-5.64;1.4399999;61.68;
1.122065;-5.04;1.68;61.44;
1.1321379;-4.44;1.9799999;61.32;
1.14221;-3.72;2.34;61.26;
1.152347;-3.12;2.6399999;61.379997;
1.162578;-2.3999999;2.9399998;61.32;
1.1725869;-1.74;3.54;61.5;
1.1835079;-1.1999999;4.2;61.559998;
1.19286;-0.48;4.5;61.559998;
1.2029419;0.35999998;5.2799997;61.44;
1.212941;1.26;6.12;61.26;
1.223511;2.52;6.66;61.14;
1.233614;3.3;7.3799996;61.02;
1.243743;4.38;7.9199996;60.899998;
1.253793;5.3399997;8.639999;60.66;
1.26413;6.3599997;9.12;60.48;
1.274177;7.44;9.66;60.359997;
1.2842549;8.58;10.26;60.359997;
1.303226;9.84;10.74;60.059998;
1.3115549;11.099999;11.219999;59.82;
1.3216839;12.54;11.7;59.34;
1.333427;14.04;12.36;58.8;
1.3427339;15.54;12.66;58.26;
1.352044;17.22;13.2;57.84;
1.3620149;18.72;13.559999;57.12;
1.372096;20.22;13.92;56.64;
