unit -> angles in degrees;
Azimuth, angle between the magnetic north direction and the y-axis, around the z-axis (0 to 359). 0=North, 90=East, 180=South, 270=West;Pitch, rotation around x-axis (-180 to 180), with positive values when the z-axis moves toward the y-axis;Roll, rotation around y-axis (-90 to 90), with positive values when the x-axis moves toward the z-axis;
Timestamp;Azimuth;Pitch;Roll;
0.001249;173.5;-42.890625;-1.9375;
0.011341999;173.39063;-43.265625;-2.296875;
0.021404;173.375;-43.546875;-2.828125;
0.031501;173.46875;-43.203125;-3.359375;
0.042262;173.64063;-42.78125;-3.8125;
0.051735;173.90625;-42.546875;-4.375;
0.061789;174.21875;-42.171875;-4.875;
0.071848;174.625;-41.65625;-5.828125;
0.081934;175.04688;-41.5;-6.171875;
0.092172;175.375;-41.3125;-6.078125;
0.105928;175.70313;-41.0;-5.96875;
0.115894;176.01563;-40.671875;-5.890625;
0.126259;176.26563;-40.0;-5.4375;
0.135981;176.48438;-39.875;-5.046875;
0.14619799;176.65625;-40.09375;-4.625;
0.15613298;176.76563;-39.953125;-4.375;
0.16621101;176.79688;-40.328125;-3.8125;
0.17650099;176.75;-40.875;-3.5625;
0.191588;176.6875;-40.96875;-3.21875;
0.200925;176.59375;-41.203125;-2.9375;
0.212587;176.53125;-41.671875;-3.109375;
0.22117199;176.53125;-41.75;-3.5;
0.231252;176.65625;-41.609375;-4.203125;
0.24144499;176.84375;-40.984375;-4.65625;
0.25191998;177.07813;-40.21875;-4.78125;
0.262067;177.34375;-39.59375;-4.703125;
0.271677;177.59375;-39.171875;-4.671875;
0.281699;177.85938;-38.828125;-4.875;
0.291784;178.15625;-38.75;-5.296875;
0.301867;178.5;-38.3125;-5.71875;
0.31212;178.8125;-38.140625;-6.03125;
0.32215598;179.17188;-37.96875;-6.359375;
0.33218202;179.46875;-37.625;-6.171875;
0.34267;179.71875;-37.171875;-5.6875;
0.352766;179.875;-36.8125;-5.078125;
0.36364898;179.98438;-36.421875;-4.8125;
0.37303698;180.0625;-35.3125;-4.65625;
0.38346097;180.10938;-34.046875;-4.671875;
0.39357796;180.125;-32.6875;-4.59375;
0.40385598;180.09375;-31.46875;-4.9375;
0.413859;180.07813;-30.453125;-5.296875;
0.42396498;179.95313;-29.75;-4.953125;
0.439638;179.625;-29.59375;-3.921875;
0.44877198;175.21875;-30.0;-2.578125;
0.464175;174.8125;-31.15625;-1.65625;
0.47281098;174.40625;-30.1875;-1.875;
0.482887;174.04688;-29.171875;-1.8125;
0.493037;173.90625;-28.640625;-3.1875;
0.504362;173.9375;-23.90625;-4.84375;
0.513613;173.84375;-22.921875;-4.65625;
0.523578;173.89063;-20.3125;-6.046875;
0.53363;174.125;-18.28125;-7.265625;
0.543722;174.35938;-17.59375;-7.75;
0.553894;174.67188;-17.65625;-8.390625;
0.563944;175.01563;-18.59375;-9.078125;
0.574028;179.09375;-20.875;-9.671875;
0.584118;179.4375;-23.671875;-10.515625;
0.59505;179.78125;-26.375;-11.0;
0.604342;180.125;-27.953125;-11.515625;
0.616497;180.34375;-27.703125;-11.125;
0.625645;180.53125;-27.703125;-11.125;
0.635635;180.59375;-26.5;-10.578125;
0.64558;180.51563;-24.640625;-9.875;
0.6556789;180.20313;-23.171875;-8.703125;
0.666012;175.75;-21.65625;-7.484375;
0.675981;171.89063;-20.703125;-6.703125;
0.686153;171.57813;-20.578125;-6.390625;
0.700197;171.8125;-23.359375;-8.625;
0.709282;177.09375;-25.515625;-10.640625;
0.723001;182.23438;-26.46875;-12.40625;
0.731349;186.32813;-27.984375;-13.46875;
0.74149495;186.6875;-29.25;-14.296875;
0.75158095;187.09375;-30.125;-14.828125;
0.76163995;187.48438;-30.3125;-14.9375;
0.771759;191.29688;-29.796875;-15.515625;
0.782012;191.64063;-29.578125;-15.890625;
0.793131;191.95313;-30.25;-16.03125;
0.802808;192.14063;-31.234375;-15.515625;
0.815331;192.10938;-32.3125;-14.453125;
0.823673;191.96875;-33.0625;-13.515625;
0.835942;191.64063;-33.109375;-11.984375;
0.84424496;187.78125;-32.90625;-10.578125;
0.85436404;187.54688;-31.984375;-10.484375;
0.864449;187.35938;-31.15625;-10.828125;
0.874527;187.09375;-30.9375;-10.34375;
0.886504;186.75;-30.828125;-9.671875;
0.89592195;183.09375;-30.90625;-8.65625;
0.905889;182.71875;-31.0;-7.546875;
0.915883;179.10938;-30.59375;-6.84375;
0.926014;178.76563;-30.390625;-5.890625;
0.93608993;178.34375;-30.484375;-4.9375;
0.94682497;174.65625;-30.890625;-4.421875;
0.95634997;174.39063;-31.234375;-4.0625;
0.966321;174.09375;-31.53125;-3.609375;
0.9764149;173.79688;-31.140625;-2.890625;
0.98649794;170.0;-30.015625;-1.65625;
