unit -> SI (m/s^2) 
Timestamp;minus Gx on the x-axis;minus Gy on the y-axis;minus Gz on the z-axis
0.001172;-2.0430522;5.09401;8.989429;
0.011247;-2.1111538;5.2165933;8.730643;
0.021391999;-2.1792557;5.284695;8.512717;
0.031439;-2.1656353;5.3527966;8.417375;
0.041748;-2.070293;5.271075;8.267551;
0.051638998;-1.9885708;5.2574544;8.19945;
0.062156998;-1.9068487;5.2574544;8.322033;
0.073078;-1.7978859;5.243834;8.403754;
0.082716994;-1.7570249;5.1893525;8.4854765;
0.092783;-1.7570249;5.09401;8.676162;
0.102842994;-1.8523673;4.9850473;8.812365;
0.1129;-2.0158114;4.903325;8.798744;
0.122981;-2.083913;4.862464;8.7034025;
0.13299;-2.192876;4.8897047;8.7034025;
0.14290099;-2.2609777;4.903325;8.648921;
0.15522099;-2.2473574;4.903325;8.580819;
0.164939;-2.1656353;4.903325;8.512717;
0.174935;-2.1111538;4.9169455;8.444615;
0.18482;-2.083913;4.903325;8.349273;
0.19488499;-2.0566726;4.903325;8.117727;
0.204957;-2.083913;4.930566;8.090487;
0.21539399;-2.083913;4.9578066;8.185829;
0.226494;-2.083913;4.971427;8.390134;
0.23667699;-2.0430522;4.930566;8.430995;
0.246971;-1.9340894;4.9169455;8.4854765;
0.256988;-1.7706453;4.862464;8.444615;
0.267077;-1.6344417;4.862464;8.349273;
0.27744198;-1.6616824;4.862464;8.22669;
0.28928;-1.7025435;4.903325;8.21307;
0.299155;-1.7025435;4.930566;8.322033;
0.30929598;-1.7025435;4.903325;8.3765135;
0.31930798;-1.7025435;4.8897047;8.3765135;
0.32940498;-1.6889231;4.862464;8.362893;
0.33947;-1.6208214;4.862464;8.444615;
0.34956196;-1.5799603;4.930566;8.676162;
0.35971698;-1.4982382;4.9169455;8.771504;
0.369779;-1.3892754;4.903325;8.853226;
0.379875;-1.2803127;4.8352237;8.934948;
0.39008996;-1.334794;4.767122;8.825985;
0.400175;-1.4165162;4.7535014;8.812365;
0.410342;-1.5118586;4.7535014;8.812365;
0.420878;-1.607201;4.6853995;8.866846;
0.43094596;-1.56634;4.6445384;8.989429;
0.44158;-1.56634;4.7126403;9.112013;
0.45227298;-1.6208214;4.7262607;9.2073555;
0.462798;-1.7161638;4.5628166;9.343558;
0.4725;-1.8932283;4.372132;9.370799;
0.48302597;-2.1247742;4.3176503;9.479762;
0.492672;-2.233737;4.385752;9.507003;
0.502692;-2.4244218;4.399372;9.547864;
0.512761;-2.547005;4.385752;9.507003;
0.522829;-2.6832085;4.508335;9.547864;
0.534902;-2.7921712;4.7262607;9.697687;
0.54445297;-2.901134;4.7943625;9.752169;
0.55459;-3.0237172;4.535576;9.575105;
0.564664;-3.091819;4.440233;9.248216;
0.574758;-3.1190596;4.344891;8.880466;
0.585313;-3.13268;4.344891;8.676162;
0.595715;-3.1871614;4.4129925;8.717023;
0.605289;-3.336985;4.385752;8.934948;
0.615259;-3.4731886;4.2904096;9.180115;
0.62525797;-3.5140498;4.113345;9.41166;
0.635377;-3.2280223;3.881799;9.643207;
0.645431;-2.8602731;3.5412905;9.575105;
0.6554949;-2.4108016;3.0100968;9.125633;
0.665589;-2.1383946;2.2745981;8.757884;
0.675805;-1.7570249;1.293933;8.798744;
0.68583196;-1.0351465;0.313268;9.193735;
0.69587;-0.47671217;-0.08172209;9.656827;
0.705974;-0.2860273;-0.013620348;10.147159;
0.71690595;-0.27240697;0.313268;10.56939;
0.726574;-0.2860273;0.667397;10.54215;
0.736698;-0.08172209;0.19068487;9.79303;
0.74677795;-0.313268;0.9125633;9.752169;
0.756907;-0.58567494;1.56634;9.956474;
0.768618;-0.040861044;1.7706453;9.833891;
0.778192;0.35412905;2.070293;9.41166;
0.791196;0.667397;2.0158114;9.084772;
0.80110896;0.95342433;1.7434045;8.798744;
0.811278;1.0760075;1.7161638;8.771504;
0.821356;1.0623871;1.7706453;9.112013;
0.83169496;1.2666923;1.7161638;9.329938;
0.841764;1.5799603;1.6616824;9.534244;
0.85214895;1.7570249;1.5118586;9.493382;
0.86344296;1.7434045;1.2394516;9.370799;
0.87294894;1.4165162;0.89894295;9.057531;
0.88339996;0.61291564;0.44947147;8.458236;
0.892985;-0.51757324;-0.23154591;7.763598;
0.90304494;-1.6480621;-0.35412905;7.205164;
0.913041;-2.1247742;-0.06810174;7.04172;
0.92311496;-1.8523673;0.38136974;7.273266;
0.933234;-1.1849703;0.88532263;7.7908387;
0.94345397;-0.46309182;1.253072;8.417375;
0.96007895;0.19068487;1.2258313;9.220976;
0.969662;0.19068487;1.2258313;9.220976;
0.9798629;0.313268;1.3484144;9.39804;
0.99003595;0.84446156;1.9068487;9.248216;
1.0008299;1.525479;2.465283;8.839605;
1.01085;1.607201;3.1599207;7.913422;
1.022092;1.5799603;3.405087;7.3822284;
